date,source_image,months,samvatsara,shakaYear,rashi,sunrise,sunset,quote,event_01,event_02,event_03,event_04,event_05,event_06,event_07,event_08,event_09,event_10,event_11,event_12,event_13,tithi_name,tithi_end_time,nakshatra_name,nakshatra_end_time,yoga_name,yoga_end_time,karana_name,karana_end_time,ayana,ritu,solarYear,paksha,solarRashi,chandraEntryRashi,rahuKala_prefix,rahuKala_from,rahuKala_to,rahuKala_prefix_2,rahuKala_from_2,rahuKala_to_2,gulikaKala_prefix,gulikaKala_from,gulikaKala_to,gulikaKala_prefix_2,gulikaKala_from_2,gulikaKala_to_2,yamaganda_prefix,yamaganda_from,yamaganda_to,yamaganda_prefix_2,yamaganda_from_2,yamaganda_to_2,arthaPrahara_prefix,arthaPrahara_from,arthaPrahara_to,arthaPrahara_prefix_2,arthaPrahara_from_2,arthaPrahara_to_2,shubhaSamaya_prefix,shubhaSamaya_from,shubhaSamaya_to,shubhaSamaya_prefix_2,shubhaSamaya_from_2,shubhaSamaya_to_2,ಮೇಷ,ವೃಷಭ,ಮಿಥುನ,ಕರ್ಕಾಟಕ,ಸಿಂಹ,ಕನ್ಯಾ,ತುಲಾ,ವೃಶ್ಚಿಕ,ಧನಸ್ಸು,ಮಕರ,ಕುಂಭ,ಮೀನ
04-08-2026,data\2026\08\04-08-2026.jpg,ಆಷಾಢ|ಶ್ರಾವಣ,ಪರಾಭವ,1948,ಕರ್ಕ/ಸಿಂಹ,06:05,18:45,ನಿನ್ನಕನಸುಗಳಿಗೆ ನೀನೇ ಹೊಣೆ,ಅಂತಾರಾಷ್ಟ್ರೀಯ ಅಗ್ನಿಶಾಮಕ ಸಿಬ್ಬಂದಿ ದಿನ,ಷಷ್ಠಿ,ಅಬ್ಬಿಗೇರಿ ಹಿಕೇಮಠದ ಶ್ರೀ ವೀರಭದ್ರ ಸ್ವಾಮಿ ಪಣ್ಣತಿಥಿ,ಮೇಲುಕೋಟೆ ಕೃಷ್ಣರಾಜಮುಡಿ ಉತ್ಸವ'ಪ್ರಾರಂಭೆ.,,,,,,,,,,ಷಷ್ಠಿ,22.04,ರೇವತಿ,21.54,ಥೃತಿ,19.33,ಗರಜ,10.33,ದಕ್ಷಿಣಾಯನ,ಸೌರ ವರ್ಷಾ,20,ಕೃಷ್ಣ,ಕರ್ಕ,ಮೀನ,ಮ.,03:00,04:30,,,,ಮ.,12:00,01:30,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,07:30,9:0,,,,ಸ.,07:30,09:06,,,,ಸರ್ಧೆ,ವಿರ್ಚು,ಸಮಸ್ಥೆ,ಲಾಭ,ಪ್ರಯತ್ನ,ಬುದ್ದಿವಂತಿಕೆ,ಸಾಲ,ಆಲೋಚನೆ,ಕೋಪ,ಯಶಸ್ಸು,ಪ್ರತಿರೋಧ,ಶುಭಸಮಾಚಾರ
04-09-2026,data\2026\09\04-09-2026.jpg,ಶ್ರಾವಣ/ಭಾದ್ರಪದ,ಪರಾಭವ,1948,ಸಿಂಹ/ಕನ್ಯಾ,06:08,18:28,ನಿನ್ನಗುರಿ ನೆನಪಿದರೆ ದಾರಿ ಸಿಗುತ್ತದೆ,ಶ್ರೀ ಕೃಷ್ಣಜನ್ಮಾಷ್ಟಮಿ,ದಾದಾ ಭಾಯಿ ನೌರೋಜಿ,ಜಯಂತಿ,ಜ್ಞಾನೇಶ್ವರ ಮಾಲಿ ಜನ್ಮಾಷ್ಟಮಿ,ಮಹಾ. ಬಾಳೆಕುಂದ್ರಿ ಜಯಂತಿ,ಜರಾ ಜಿವಂತಿಕಾ,ಪೂಜೆ,ಜೀವಂತಿಕಾ ಪೂಜೆ.,,,,,,ಅಷ್ಟಮಿ,24.14,ರೋಹಿಣಿ,23.04,ಹರ್ಷಣ,15.44,ಬಾಲವ,13.21,ದಕ್ಷಿಣಾಯನ,ಸೌರ ಶರದ,19,ಕೃಷ್ಣ,ಸಿಂಹ,ವೃಷಭ,ಬೆ.,10:30,12:00,,,,ಬೆ.,07:30,09:00,,,,ಮ.,03:00,04:3,,,,ಮ.,01:30,03:0,,,,ಸ.,08:03,09:33,,,,ಸೌಮೃತೆ,ಶ್ರೇಷ್ಠತೆ,ಬುದ್ದಿವಂತಿಕೆ,ಕಾಟರ್ಕು ಸ್ಪರ್ಧೆ,ಸಾಧನೆ,ಯಶಸ್ಸು,ಪ್ರೋತ್ಸಾಹ,ತಾಳ್ಮೆ,ಸಂತೋಷ,ಆಸಕಿ,ಪ್ರೋತ್ಸಾಹ,ಮೆಚ್ಚುಗೆ
04-10-2026,data\2026\10\04-10-2026.jpg,ಭಾದ್ರಪದ/ಅಶ್ವೀನ,ಪರಾಭವ,1948,ಕನ್ಯಾ/ ತುಲಾ,06:09,18:07,ನಿನ್ನ ಕನಸುಗಳಿಗಿಂತ ನಿನ್ನಭಯ ಚಿಕದಾಗಿರ,ವಿಶ್ವ ಪ್ರಾಣಿ ಕಲ್ಯಾಣ ದಿನ,ಹತ್ತರವಾಟ ತಾ. ಚಿಕ್ಕೋಡಿ,ವಿರುಪಾಕ್ಷನಾಗನಾಥಸ್ವಾಮಿ ಪುಣ್ಯ ತಿಥಿ,ಬಲ್ಲಟಗಿ ಸಪ್ತಭಜನೆ,ಅವಿಧನಾ,ನವಮಿ ಶ್ರಾದ್ಧ,ನಾಡಕವಿ ಹುಯಿಲಗೋಳ ನಾರಾಯಣರಾಯರ ಜನ್ಮದಿನ,ಮಾತೃ ನವಮಿ,ಅರಸೀಕೆರೆ ತಾ. ಕಲ್ಲುಂಡಿ ಭೂತಾಳೆ ಶ್ರೀ ಸ್ವರ್ಣಗೌರಮ್ಮ,ವಿಸರ್ಜನೆ.,,,,ನವಮಿ,27.54,ಪುನರ್ವಸು,24.14,ಪರಿಘ,12.32,ತೈತಿಲ,16.52,ದಕ್ಷಿಣಾಯನ,ಸೌರ ಶರದ,18,ಕೃಷ್ಣ,ಕನ್ನಾ,ಮಿಥುನ,ಸ.,04:30,06:00,,,,ಮ.,5:00,64:30,,,,ಮ.,12:66,6:56,,,,ಬೆ.,1136,17,,,,ಸ.,09:57,11:28,,,,ಪ್ರತಿರೋಧ,ಯಶಸ್ಸು,ಆತಂಕ,ಭಯ,ಸ್ನೇಹ,ಸಂಪತ್ತು,ಸಂತೋಷ,ವಿಳಂಬ,ಸಂತೋಷ,ಸಾಲ,ಸಮಸ್ಯೆ,ಶಾಂತಿ
04-11-2026,data\2026\11\04-11-2026.jpg,ಅಶ್ವೀನ|ಕಾರ್ತಿಕ,ಪರಾಭವ,1948,ತುಲಾ/ವೃಶ್ಚಿಕ,06:14,17:52,ಹಾಸಿಗೆ ಇದ್ದಷ್ಟು ಕಾಲು ಚಾಚು,ಬಳ್ಳಾರಿ ಜಿ. ಶಿರಗುಪ್ಪ ಶಿವದೇವ ಶಿವಾಚಾರ್ಯ,ಸ್ವಾಮಿ ಪು.ತಿ. ಕುಷ್ಟಗಿ ತಾ. ಚಳಗೇರಾ ಹಿರೇಮಠದ,ವಿರುಪಾಕ್ಷ ಲಿಂಗಸ್ವಾಮಿ ಆರಾಧನೆ,,,,,,,,,,,ದಶಮಿ,11.40,ಪೂರ್ವಾ,27.30,ಜ್ರಹ್ಮಾ,08.01,ಬವ,22.47,ದಕ್ಷಿಣಾಯನ,ಲಾ 19,19,ಕೃಷ್ಣ,ತುಲಾ,ಸಿಂಹ,ಮ.,12:00,01:30,,,,ಬೆ.,10:30,12:00,,,,ಬೆ.,07:30,09:00,,,,ಬೆ.,06:00,07:30,,,,ಜ.,01:04,02:39,ರಾ.,09:05,10:41,ದೃಢ ನಿರ್ಧಾರ,ಮರೆವು,ಪ್ರತಿರೋಧ,ಒಳ್ಳೆಯದು,ಯಶಸ್ಸು,ಪ್ರಗತಿ,ಆಸೆ,ಸ್ನೇಹ,ದಾನ,ಸಂತೋಷ,ಸಾಲ,ಉಡುಗೊರೆ
04-12-2026,data\2026\12\04-12-2026.jpg,ಕಾರ್ತಿಕ/ಮಾರ್ಗಶಿರ,ಪರಾಭವ,1948,ವೃಶ್ಚಿಕ/ಧನು,06:27,17:52,"ಬಮವರಂತೆ ಇರಬೇಡಿ, ನಿಮಗಾಗಿ ನೀ",ಉತ್ಪತ್ತಿ ಏಕಾದಶಿ,ಆಳಂದಿ ಯಾತ್ರೆ,ನಗೌಕಾಪಡೆ ದಿನ,ಮುಳವಾಡ ಗೌರಿ ಜಾತ್ರೆ,ನಿಜಗುಣಿ ಶಿವಯೋಗಿ ಜಯಂತಿ,ಉತ್ಸವ ಸಮಾಪ್ತಿ ಹುಬ್ಬಳ,ಹುಲಬೆಂಚಿ ತಾ. ಬಸವನ,ಬಾಗೇವಾಡಿ ಸಪ್ತಾಹ ಸಮಾಪ್ತಿ,ಬಾಬಾ ಮಹಾರಾಜ ಪುಣ್ಯತಿಥಿ.,,,,,ಏಕಾದಶಿ,23.45,ಹಸ್ತ,10.23,ಅಯುಷ್ಕಾನ,08.24,ಜವ,11.21,ದಕ್ಷಿಣಾಯ,ಸೌರ ಹೇಮಂತ,19,ಕೃಷ್ಣ,ವಶಿಕ,ಕನ್ಯಾ,ಬೆ.,10:30,12:00,,,,ಬೆ.,0730,09:00,,,,ಮ.,03:00,04:3,,,,ಮ.,01:30,03:00,,,,ಬೆ.,04:68,05:48,,,,ಖರ್ಚು,ಲಾಭ,ಸಾಲ,ಪ್ರಗತಿ,ಅನುಕೂಲ,ಸಂತೋಷ,ಗೌರವ,ಸಂಪತ್ತು,ಕೀರ್ತಿ,ಪರಿಶ್ರಮ,ಸಹಾಯ,ಅಲೆದಾಟ
05-01-2026,data\2026\01\05-01-2026.jpg,ಪುಷ್ಯ/ಮಾಘ,ವಿಶ್ವಾವಸು,1947,ಧನು/ಮಕರ,06:43,18:06,ಸಂತೋಷವೇ ನಿಜವಾದ ಸಂಪತ್ತು,ಕೊಪ್ಪಳ ಗವಿಸಿದ್ದೇಶ್ವರ ರಥ,ಹಾವೇರಿ ಜಿ.,ನರಸೀಪುರ ಅಂಬಿಗರ ಚೌಡಯ್ಯನ ರಥ,ಮುಗೂರ,ತ್ರಿಪುರ ಸುಂದರಿ ರಥ. ನೆಲಮಂಗಲ ಚನ್ನಕೇಶವಸ್ವಾಮಿ,ರಥ.,,,,,,,,ಡ್ವಿತೀಯಾ,0.57,ಪುಷ್ಯ,13.25,ವಿಷ್ಕಂಭ,22.47,ವಣಿಜ,20.54,ಉತ್ತರಾಯಣ,ಸೌರ ಶಿಶಿರ,21,ಕೃಷ್ಣ,"ದನಸು,",ಕರ್ಕ,ಬೆ.,07:30,09:00,,,,ಮ.,01:30,03:00,,,,ಬೆ.,1030,12:00,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,07:29,08:58,,,,ಒಳ್ಳೆಯದು,ಅನುಕೂಲ,ಖರ್ಚು,ಪ್ರಗತಿ,ಆಸಕ್ತಿ,ಸೌಮ್ಯತೆ,ಯಶಸ್ಸು,ಸಮಸ್ಯೆ,ಸಂತೋಷ,ಆನಂದ,ಬುದ್ದಿವಂತಿಕೆ,ಅಭಿವೃದ್ದಿ
05-02-2026,data\2026\02\05-02-2026.jpg,,ವಿಶ್ವಾವಸು,1947,ಮಕರ/ ಕುಂಭ,06:45,8:22,ರಕ್ಕೆತಿರಸ್ಕಾರವೇ ಮದ್ದಲ್ಲ ಪ್ರೀತಿಯೇ ದಿಎ,ಸಂಕಷ್ಟ ಚತುರ್ಥಿ (ಚಂ.ರಾ.9.38),ಚಿಂಚಲಿ,ತಾ.ರಾಯಬಾಗ ಜಿ.ಬೆಳಗಾವಿ ಮಾಯಾಕ್ಕಾ ಜಾತ್ರೆ,ಖಡಕಲಾಟ ಉರುಸ ತಾ. ಚಿಕ್ಕೋಡಿ ದಾವಣಗೇರೆ,ವೀರಭದ್ರ ರಥ.,,,,,,,,,ಚತುರ್ಥಿ,24.23,ಉತ್ತರಾ,22.57,ಸುಕರ್ಮಾ,24.04,ಬವ,12.11,ಉತ್ತರಾಯಣ,ರ್ಥಿ 24.23,23,ಕೃಷ್ಣ,ಮಕರ,ಕನ್ಯಾ,ಮ.,01:30,03:00,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,06:00,07:30,,,,ಮ.,03:00,04:30,,,,ಸ.,03:32,05:11,,,,ಒಳ್ಳೆಯ ಕೆಲಸ,ಪ್ರತಿರೋಧ,ಯಶಸ್ತ್ಸು,ಆತಂಕ,ಮೆಚ್ಚುಗೆ,ಅನುಕೂಲ,ಪ್ರಗತಿ,ಸಂತೋಷ,ವಿಳಂಬ,ಶೇಷತೆ,ಡಾಲ,ಪ್ರಯತ್ನ
05-03-2026,data\2026\03\05-03-2026.jpg,ವಿಶ್ವಾವಸು ಪರಾಭವ,ವಿಶ್ವಾವಸು ಪರಾಭವ,1947,ಕುಂಭ/ಮೀನ,06:33,18:29,“ಪ್ರತಿ ಸಮಸ್ಥೆಯಲ್ಲೂಪರಿಹಾರವಿದೆ”,ಸಂತ ತುಕಾರಾಮ ಬೀಜ,ವೇಳವಿ ತಾ. ಹುಕ್ಕೇರಿ,ಸಂಗಮೇಶ್ವರ ಜಾತ್ರೆ,ಟಿ ನರಸಿಪೂರ ಗುಂಜಾನೃಸಿಂಹ ರಥ,ಪಡುಬಿದ್ರ ಉಚ್ಚಲ ಮಹಾಲಕ್ಷ್ಮೀ ರಥ,ನಾಗಭೂಷಣ,ಶಿವೆಯೋಗಿ ಉತ್ಸವಾರಂಭ.,,,,,,,ದ್ವಿತೀಯಾ,17.04,ಉತ್ತರಾ,08.18,ಶೂಲ,07.46,ವಣೆಜ ೫25,29.25,ಉತ್ತರಾಯಣ,ಸೌರ ವಸಂತ,21,ಕೃಷ್ಣ,ಕುಂಭ,ಕನ್ನಾ,ಮ.,01:30,03:00,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,06:00,07:30,,,,ಮ.,03:06,04:30,,,,ಬೆ.,12:54,02:32,,,,ಖರ್ಚು,ಪ್ರಗತಿ,ಸಂತೋಷ,ಸಾಲ,ಪ್ರೀತಿ,ಪ್ರೋತ್ಸಾಹ,ಸಂತೋಷ,ಸಂಪತ್ತು,ಸ್ನೇಹ,ವಿಳಂಬ,ಸಮಸ್ಯೆ,ಆನಂದೆ
05-04-2026,data\2026\04\05-04-2026.jpg,ಚೈತ್ರ|ವೈಶಾಖ,ಪರಾಭವ,1948,ಮೀನ/ಮೇಷ,06:13,18:31,ತತ್ಮಕ ಆಲೋಚನೆಗಳು ಮನುಷ್ಯನನ್ನು ಬಲಹೀನಗೊಳಿ,ಸಂಕಷ್ಟ ಚತುರ್ಥಿ (ಚಂ.09:32) ಈಸ್ಟರ್‌ ಸಂಡೇ,ಅಕ್ಕಿವಾಟ ತಾ. ಹುಕ್ಕೇರಿ ಶ್ರೀ ಮಲ್ಲಿಕಾರ್ಜುನ ದೇವರ,ಸರಪಳಿ ಎಳೆಯುವುದು. ಇಂಚಗೇರಿ,ಗುರುಬಸವೇಶ್ವರ ಮಹಾ ಜಯಂತಿ.,,,,,,,,,,ತೃತೀಯಾ,12.00,ವಿಶಾಖಾ,24.08,ವಜ್ರ,14.44,ಬವ,25.4,ಉತ್ತರಾಯಣ,ಸೌರ ವಸಂತ,22,ಕೃಷ್ಣ,ಮೀನ,ತುಲಾ,ಸ.,04:30,06:00,,,,ಮ.,05:00,04:30,,,,ಮ.,12:30,01:3,,,,ಬೆ.,10:30,12:00,,,,ಮ.,02:24,04:1,,,,ಸಾಲ,ವಿಳಂಬ,ಖರ್ಚು,ಪ್ರೋತ್ಸಾಹ,ಅನಾರೋಗ್ಯ,ಯಶಸ್ಸು,ಪಶ್ಚಾತ್ತಾಪ,ಅನುಕೂಲ,ಆಸಕ್ತಿ,ಸರ್ದೆ,ಶಾಂತಿ,ಅಭಿವೃದ್ದಿ
05-05-2026,data\2026\05\05-05-2026.jpg,ವೈಶಾಖ|ಅಧಿಕ ಜ್ಯೇಷ್ಠ,ಪರಾಭವ,1948,ಮೇಷ/ವೃಷಭ,05:57,18:25,ಪ್ರಯತ್ನವೇ ಸಾಧನೆಯ ದಾರಿ,ಅಂಗಾರಕ ಸಂಕಷ್ಟ ಚತುರ್ಥಿ (ಚಂ. ರಾ 10. 03),ನವಲಗುಂದ ತಾ. ಹುರಕಡ್ಡಿ ಅಜ್ಜನವರ ಜನ್ಮೋತ್ಸವ.,ಮೇಲುಕೋಟೆ ಪಲ್ಲಪೋತ್ಸವ,ಅಂಕೋಲಾ,ಕುಂಡೊದರಿ ಪ್ರತಿಷ್ಠಾ ದಿನ.,,,,,,,,,__ ಚತುರ್ಥಿ,FULL DAY,ಜ್ಯೇಷ್ಠಾ,12.55,ಶಿವ,24.16,ಬವ,15.38,ಉತ್ತರಾಯಣ,ರ್ಥಿ ಪೂರ್ಣ,22,ಕೃಷ್ಣ,ಮೇಷ,ವೃಶ್ಚಿಕ,ಮ.,03:00,04:30,,,,ಮ.,12:00,01:36,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,07:30,9:0,,,,ಬೆ.,03:02,04:49,,,,ಯಶಸ್ಸು,ಯಶಸ್ಸು,ಸೌಮೃತೆ,ಗೊಂದಲ,ಭಯ,ಪ್ರತಿರೋಧ,ಸಹಾಯ,ಪ್ರೀತಿ,ಪ್ರಯತ್ನ,ತೊಂದರೆ,ಒಳ್ಳೆಯ ಕೆಲಸ,ತಾಳ್ಮೆ
05-06-2026,data\2026\06\05-06-2026.jpg,ಅ.ಜ್ಯೇಷ್ಠ/ನಿ.ಜ್ಯೇಷ್ಠ,ಪರಾಭವ ನಾಮ,1948,ವೃಷಭ/ಮಿಥುನ,05:52,18:43,ಪ್ರಯತ್ನವೇ ಗೆಲುವಿನ ಮೂದಲ ಹೆಜ್ಜೆ,ಪರಿಸರ ದಿನಾಚರಣೆ,ಜಾಗತೀಕ ಪರ್ಯಾವರಣ,ದಿನ,ಪೂ. ಗೋಳವಲಕರ ಗುರೂಜಿ,ಪುಣ್ಯಸ್ಮರಣೆ(ದಿನಾಂಕಾನುಸಾರ),,,,,,,,,ಪಂಚಮಿ,25.21,ಶ್ರವಣ,FULL DAY,ಬ್ರಹ್ಮಾ,09.43,ಕೌಲವ,12.29,ಉತ್ತರಾಯಣ,ಸೌರ ಗ್ರೀಷ್ಠ,22,ಕೃಷ್ಣ,ವಷಭ,ಮಕರ,ಬೆ.,10:30,12:00,,,,ಬೆ.,0730,09:00,,,,ಮ.,03:00,04:30,,,,ಮ.,01:30,03:0,,,,ಸ.,06:38,08:23,,,,ಗೊಂದಲ,ಕರುಣೆ,ಆಯಾಸ,ಆತಂಕ,ಆನಂದ,ಧೈರ್ಯ,ನೋವು,ಲಾಭ,ಅನುಕೂಲ,ಕೋಪ,ಅನುಕೂಲ,ಸಂತೋಷ
05-07-2026,data\2026\07\05-07-2026.jpg,ನಿಜ ಜ್ಯೇಷ್ಠ/ಆಷಾಢ,ಪರಾಭವ,1948,ಮಿಥುನ/ಕರ್ಕ,05:58,18:50,"ನ್ಹನ್ನು ನೀನು ನಂಬು, ಜಗತೇ ನಿನ್ನದಾಗು:",ಗದಗ ಗಾನಯೋಗಿ ಪಂಚಾಕ್ಷರಿ ಗವಾಯಿ ಪುಣ್ಯತಿಥಿ,ತಲಕಾಡು ಬಾಲಕೃಷ್ಣಾನಂದ ಮಠದಲ್ಲಿ ನೃಸಿಂಹೌನಂದ,ಸರಸ್ವತಿ ಪಟ್ಟಾಭಿಷೇಕ ದಿನ,ಅರಭಾವಿ ಮಹಂತಸ್ವಾಮಿ,ವರ್ಧಂತಿ.,,,,,,,,,ಪಂಚಮಿ,13.31,ಶತಭಿಷಾ,15.13,ಆಯುಷ್ಕಾನ,16.46,ಗರಜ,25.44,ದಕ್ಷಿಣಾಯನ,ಸೌರ ವರ್ಷಾ,21,ಕೃಷ್ಣ,ಮಿಹುನ,ಕುಂಭ,ಸ.,04:30,06:00,,,,ಮ.,5:00,64:30,,,,ಮ.,12:00,01:30,,,,ಬೆ.,10:30,12:00,,,,ಬೆ.,07:34,09:16,,,,ಒಳ್ಳೆಯ ಕೆಲಸ,ಅಸಕ್ತಿ,ಯಶಸ್ಸು,ಸಂತೋಷ,ಒಳ್ಳೆಯದು,ಪಶ್ಚಾತ್ತಾಪ,ಅನುಕೂಲ,ಸ್ನೇಹ,ಶಾಂತಿ,ಸಾಲ,ಮೆಚ್ಚುಗೆ,ಪ್ರಯತ್ನ
05-08-2026,data\2026\08\05-08-2026.jpg,ಆಷಾಢ|ಶ್ರಾವಣ,ಪರಾಭವ,1948,ಕರ್ಕ/ಸಿಂಹ,06:06,18:45,ಇಂದಿನ ಹೋರಾಟವೇ ನಾಳೆಯ ಹೆಮ್ಮೆ,ಕಾಲಾಷ್ಟಮಿ,ರಾಧಾ ಜಯಂತಿ,ಮದರಕಲ್‌ ತಾ.,ದೇವದುರ್ಗ ಶ್ರೀ ಈಶ್ವರ ದೇವಸ್ಥಾನ ಸಪ್ತಭಜನೆ,ಭೃಗುವಿಶಾಲಯುಷಿ ಜಯೆಂತಿ,,,,,,,,,ಸಪ್ತಮಿ,20.43,ಅಶ್ವಿನಿ,21.18,ಶೂಲ,17.29,ಏಿಷ್ಟಿ,0.27,ದಕ್ಷಿಣಾಯನ,ಸೌರ ವರ್ಷಾ,21,ಕೃಷ್ಣ,ಕರ್ಕ,ಮೇಷ,ಮ.,12:00,01:30,,,,ಬೆ.,1013,12:00,,,,ಬೆ.,07:30,09:00,,,,ಬೆ.,06:00,07:30,,,,ಮ.,02:16,03:50,,,,ಸಾಲ,ಪ್ರಯತ್ನ,ಅನುಕೂಲ,ಭಕ್ತಿ,ಶ್ರೇಷ್ಠತೆ,ಮೆಚ್ಚುಗೆ,ಒಳ್ಳೆಯದು,ಸಮಸ್ಯೆ,ಕೋಪ,ಖರ್ಚು,ಪ್ರೀತಿ,ಧೈರ್ಯ
05-09-2026,data\2026\09\05-09-2026.jpg,ಶ್ರಾವಣ/ಭಾದ್ರಪದ,ಪರಾಭವ,1948,ಸಿಂಹ/ಕನ್ಯಾ,06:08,18:28,"ನಿನನು ನಿಲಿಸಲು ಅಲ, ಬಲಪಡಿಸಲು ಬ",ಶಿಕ್ಷಕರ ದಿನಾಚರಣೆ,ಡಾ. ರಾಧಾಕೃಷ್ಣ ಜಯಂತಿ,ಗೊಗಲ್‌,ತಾ. ದೇವದುರ್ಗ ಪ್ರಭುಲಿಂಗೇಶ್ವರ ತೆಪ್ಪೋತ್ಸವ,ಕಣಕಗೀರಿ,ತೊಂಡಿರಪ್ಪಾ ಪಲ್ಲಕ್ಕೆ ಉತ್ಸವ,ತಂಗಳ ತಾ.'ಜಮಖಂಡಿ ಶ್ರೀ,ಗೋಪಾಲಕೃಷ್ಣ ಪಲ್ಲಕ್ಕಿ ಉತ್ಸವ.,,,,,,ನವಮಿ,21.54,ಮೃಗಶಿರಾ,21.31,ವಜ್ರ,12.47,ತೈತಿಲ,11.05,ದಕ್ಷಿಣಾಯನ,ಸೌರ ಶರದ,20,ಕೃಷ್ಣ,ಸಿಂಹ,ವೃಷಭ,ಬೆ.,09:00,10:30,,,,ಬೆ.,06:00,07:30,,,,ಮ.,01:30,03:0,,,,ಮ.,12:00,01:3,,,,ಸ.,01:17,02:46,,,,ಅನುಕೂಲ,ದಯೆ,ಆತಂಕ,ಪ್ರಗತಿ,ಭಯ,ಸಮಸ್ಯೆ,ತೊಂದರೆ,ಸಂಪತ್ತು,ಸ್ನೇಹ,ಮೆಚ್ಚುಗೆ,ಸಂತೊಷ,ವಿಳಂಬ
05-10-2026,data\2026\10\05-10-2026.jpg,ಭಾದ್ರಪದ/ಅಶ್ವೀನ,ಪರಾಭವ,1948,ಕನ್ಯಾ/ ತುಲಾ,06:09,18:07,"ಹತಾರೂ ಕೈ ಹಿಡಿಯದಾಗ, ನೀನೇ ಸಿನ್ನಕ್ಕೆ",ದಶಮಿ ಮಹಾಲಯ,ಗದಗ ತಾ. ಹರ್ಲಾಪುರ ಚಿದಾನಂದಜ್ಜನ ಜಾತ್ರೆ,ರಾಮಾನಂದ ಸ್ವಾಮಿ ಸಪ್ತಾಹ ಸ. ಕಾಗಲಗೊಂಬ,ತಾ. ಬದಾಮಿ,ವಿದ್ಯಾಪಯೋನಿಥಿ ತೀರ್ಥರ ಆರಾಧನೆ,ಚಿತ್ರದುರ್ಗ ಜಯದೇವಸ್ವಾಮಿ ಪು.ತಿ,ಕುಚಬಾಳ ಹನಮಾನಂದಸ್ವಾಮಿ ಪು.ತಿ,ಕುಂದಗೋಳ ನಾಡಿಗೇರ ವಾಡೆಯಲ್ಲಿ,ಸೀಮಂತ ನಾನಾ ಸಾಹೇಬರ ಪುಣ್ಯತಿಥಿ ನಿಮಿತ್ಯ ಸಂಗೀತೋತ್ಸವ.,,,,,ದಶಮಿ,26.08,ಪುಷ್ಯ,23.0,ಶಿವ,09.52,ವಣಿಜ,15.00,ದಕ್ಷಿಣಾಯ,ಸೌರ ಶರದ,19,ಕೃಷ್ಣ,ಕನ್ನಾ,ಕರ್ಕ,ಬೆ.,07:30,09:00,,,,ಮ.,0113,03:00,,,,ಬೆ.,16:30,12:60,,,,ಬೆ.,09:00,10:30,,,,ಸ.,05:02,06:34,,,,ತೊಂದರೆ,ಸಮಸ್ಯೆ,ಪ್ರೋತ್ಸಾಹ,ನರಾಶೆ,ಯಶಸ್ಸು,ಲಾಭ,ಯಶಸ್ಸು,ಭಯ,ಪ್ರತಿರೋಧ,ಅಲೆದಾಟ,ಅನುಕೂಲ,ವಿನಯ
05-11-2026,data\2026\11\05-11-2026.jpg,ಅಶ್ವೀನ|ಕಾರ್ತಿಕ,ಪರಾಭವ,1948,ತುಲಾ/ವೃಶ್ಚಿಕ,06:14,17:51,ಬಲ್ಲವನಿಗೆ ರೋಗವಿಲ್ಲಮಾತು ಬಲ್ಲವನಿಗೆ ಜಗಳ,ರಮಾ ಏಕಾದಶಿ,ಗೋವತ್ಸ ದ್ವಾದಶಿ. ವಿಶ್ವ ಸುನಾಮಿ,ಜಾಗ್ರತೆ ದಿನ,ಶುಕ್ರ ವಕ್ರಿ ಕನ್ಯಾದಲ್ಲಿ,ಶ್ರೀ ಸಿದ್ರಾಮೇಶ್ವರ,ಸಪ್ತಾಹ ಸಮಾಪ್ತಿ ಬ.ಬಾಗೇವಾಡಿ ಚಿತ್ರದುರ್ಗ ಶ್ರೀ,ಮುರುಘಾರಾಜೇಂದ್ರ ಮಠದಲ್ಲಿ ಸಾಮೂಹಿಕ ವಿವಾಹ,,,,,,,ಏಕಾದಶಿ,10.36,ಉತ್ತರಾ,27.56,%2,06.26,5ಲವ,22.31,ದಕ್ಷಿಣಾಯನ,ಲಾ 20,20,ಕೃಷ್ಣ,ತುಲಾ,ಸಿಂಹ,ಮ.,01:30,03:00,,,,ಬೆ.,09:00,10:30,,,,ಬೆ.,06:00,07:30,,,,ಮ.,05:00,04:30,,,,ರಾ.,08:36,10:13,,,,ಮರೆವು,ಒಳ್ಳೆಯದು,ಸಾಲ,ಯಶಸ್ಸು,ಗೌರವ,ಕೋಪ,ಲಾಭ,ಪ್ರೀತಿ,ಅಭಿವೃದ್ಧಿ,ಪ್ರತಿರೋಧ,ಪ್ರಗತಿ,ಧೈರ್ಯ
